,json_name,#R,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
0,48--1of1.json,40000,5.84,130.12,64.39,103.5,0,False
2,54--1of1.json,30000,5.82,129.58,64.15,76.79,0,False
1,de--1of1.json,409035,5.81,129.97,64.29,1101.28,0,False
