,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
6,00--1of1.json,750,0,11.55,268.41,130.02,5.8,0,False
25,02--1of2.json,93833,0,7.63,153.68,75.59,468.59,1,False
62,02--2of2.json,46455,0,7.46,133.26,66.5,197.05,0,False
21,03--1of1.json,11576,0,7.35,107.39,55.06,41.49,0,False
54,04--1of1.json,14844,0,7.34,109.38,56.07,54.28,3,False
18,0b--1of1.json,141949,0,7.58,149.35,73.47,706.46,1,False
58,0c--1of1.json,256,0,22.0,390.0,197.25,3.47,0,False
0,0e--1of1.json,32954,0,7.52,129.26,64.85,142.46,0,False
60,0f--1of1.json,15442,0,7.28,106.94,54.7,55.85,0,False
11,10--1of1.json,384,0,7.01,144.46,71.47,1.74,0,False
32,1b--1of1.json,12869,0,7.47,112.89,57.73,49.93,1,False
49,1d--1of1.json,53107,0,7.55,138.29,68.76,235.62,0,False
34,1e--1of1.json,28236,0,7.66,125.75,63.5,119.17,1,False
27,26--1of1.json,33840,0,7.48,126.0,63.27,142.34,1,False
1,35--1of2.json,16777,0,7.21,105.43,53.85,59.95,0,False
9,35--2of2.json,7,0,114.14,4847.71,2261.57,0.92,0,False
37,38--1of1.json,11026,0,7.51,114.39,58.51,41.52,0,False
40,3b--1of1.json,450,0,16.0,224.24,115.01,3.54,0,False
3,44--1of1.json,33605,0,7.45,129.57,64.93,144.99,0,False
33,46--1of1.json,4312,0,10.96,275.93,135.67,33.88,0,False
16,48--1of1.json,40000,0,7.84,130.12,64.39,164.25,0,False
39,4d--1of1.json,90,0,11.0,201.02,101.42,0.5,0,False
52,4e--1of1.json,15279,0,7.43,113.98,58.0,58.53,0,False
38,51--1of1.json,15001,0,7.39,113.71,57.99,56.81,0,False
44,54--1of1.json,30000,0,7.82,129.58,64.15,120.07,0,False
12,55--1of2.json,3,0,8.67,282.0,136.33,0.05,0,False
19,55--2of2.json,48,0,13.46,132.33,74.27,0.27,0,False
29,5b--1of1.json,146885,0,7.58,150.24,73.9,723.64,4,False
5,5d--1of1.json,54763,0,7.34,137.62,68.24,249.57,0,False
30,5e--1of1.json,39,0,9.0,122.92,65.56,0.15,0,False
53,67--1of1.json,13736,0,7.34,106.23,54.65,49.31,3,False
7,68--1of3.json,19330,0,7.47,115.83,58.95,76.25,2,False
4,68--2of3.json,12743,0,7.49,115.86,59.16,48.69,0,False
42,68--3of3.json,5760,0,17.69,320.98,159.14,58.84,0,False
36,6a--1of1.json,3,0,18.33,120.0,73.67,0.02,0,False
22,70--1of1.json,43484,0,7.31,133.1,66.31,190.06,0,False
26,71--1of1.json,37039,0,7.34,134.92,67.06,164.46,0,False
31,77--1of1.json,22567,0,7.52,119.81,60.99,92.18,0,False
47,7d--1of1.json,1536,0,13.06,301.62,145.92,13.52,0,False
14,83--1of1.json,18641,0,7.47,117.15,59.61,73.23,0,False
48,84--1of1.json,91345,0,7.45,143.44,70.89,422.71,3,False
63,89--1of1.json,24,0,12.0,309.5,151.75,0.18,0,False
17,8b--1of1.json,19789,0,7.43,115.34,58.71,77.68,1,False
45,8d--1of1.json,27,0,9.04,176.96,86.19,0.13,0,False
64,99--1of1.json,70725,0,7.38,140.55,69.48,317.1,0,False
55,a3--1of1.json,11340,0,7.32,109.47,55.96,42.73,0,False
51,ac--1of1.json,1728,0,9.0,194.22,95.22,10.01,0,False
41,b2--1of1.json,147956,0,7.6,149.58,73.56,739.06,1,False
61,b4--1of1.json,1152,0,12.0,266.12,129.67,9.01,0,False
10,b8--1of1.json,42482,0,7.55,133.2,66.64,191.56,1,False
13,c1--1of1.json,20155,0,7.45,118.73,60.32,80.84,4,False
43,ca--1of1.json,13628,0,7.37,113.4,57.85,51.37,0,False
50,cb--1of1.json,288,0,11.88,242.0,119.42,2.09,0,False
57,cd--1of1.json,119693,0,7.53,146.71,72.3,573.18,2,False
24,d1--1of1.json,100264,0,7.54,144.08,71.24,479.97,0,False
15,d2--1of1.json,1728,0,22.0,393.83,199.75,23.02,0,False
23,d3--1of1.json,264,0,11.98,289.53,139.64,2.04,0,False
46,d9--1of1.json,20176,0,7.47,122.23,61.77,81.03,1,False
56,de--1of1.json,409035,0,7.81,129.97,64.29,1877.66,0,False
20,df--1of1.json,37068,0,7.6,129.01,64.81,161.0,0,False
28,e2--1of1.json,36478,0,7.39,136.68,67.94,163.55,0,False
35,f4--1of1.json,56453,0,7.41,140.59,69.6,258.82,0,False
8,f6--1of1.json,19599,0,7.51,122.05,61.88,79.34,0,False
59,fa--1of1.json,17851,0,7.18,107.27,54.49,64.27,4,False
2,fc--1of1.json,80,0,7.0,131.6,64.25,0.33,0,False
